epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3448.81,1.07937,0.91206,1.24002,0.75679,0.68534,0.74017,0.41981,1.49727,1.07532,1.44965,0.0083764,0.0083764,0.0083764
84,3489.91,1.05232,0.88718,1.2309,0.81454,0.65082,0.74107,0.41203,1.493,1.07058,1.44246,0.0083566,0.0083566,0.0083566
85,3527.95,1.06894,0.9139,1.23239,0.76599,0.65427,0.73343,0.4171,1.46026,1.06162,1.43076,0.0083368,0.0083368,0.0083368
86,3568.86,1.06828,0.90309,1.22519,0.76097,0.68967,0.73574,0.42264,1.50263,1.0642,1.45566,0.008317,0.008317,0.008317
87,3610.92,1.06187,0.89147,1.22367,0.7782,0.67007,0.73775,0.43118,1.45141,1.06285,1.42291,0.0082972,0.0082972,0.0082972
88,3652.73,1.06366,0.89046,1.22303,0.82389,0.64293,0.72613,0.41506,1.47862,1.07409,1.4301,0.0082774,0.0082774,0.0082774
89,3693.9,1.05461,0.88563,1.21822,0.73536,0.69162,0.73876,0.42567,1.46946,1.0566,1.42653,0.0082576,0.0082576,0.0082576
90,3733.43,1.0517,0.8816,1.21841,0.79756,0.66427,0.7562,0.42688,1.4574,1.06828,1.41966,0.0082378,0.0082378,0.0082378
91,3774.08,1.0539,0.88549,1.21638,0.77919,0.68519,0.74441,0.42738,1.47232,1.05164,1.43478,0.008218,0.008218,0.008218
92,3814.88,1.05289,0.89434,1.22257,0.79242,0.68025,0.7435,0.43022,1.44486,1.03294,1.42159,0.0081982,0.0081982,0.0081982
93,3855.25,1.04092,0.85897,1.2111,0.80827,0.66519,0.74304,0.42809,1.46336,1.04914,1.43011,0.0081784,0.0081784,0.0081784
94,3895.35,1.05617,0.87721,1.21649,0.7595,0.68953,0.74172,0.4288,1.4551,1.03816,1.41936,0.0081586,0.0081586,0.0081586
95,3935.24,1.06101,0.89374,1.22581,0.80596,0.67532,0.75881,0.43425,1.46154,1.03761,1.41516,0.0081388,0.0081388,0.0081388
96,3975.48,1.03962,0.87312,1.2108,0.79754,0.67749,0.75825,0.44014,1.45399,1.03498,1.41983,0.008119,0.008119,0.008119
97,4015.43,1.03575,0.86455,1.20402,0.82841,0.67989,0.76775,0.4409,1.44845,1.03838,1.41335,0.0080992,0.0080992,0.0080992
98,4054.76,1.03159,0.85712,1.20304,0.80498,0.66891,0.76266,0.44449,1.44956,1.02936,1.41149,0.0080794,0.0080794,0.0080794
99,4093.38,1.04398,0.8523,1.21463,0.81397,0.68214,0.76041,0.43969,1.4453,1.03254,1.4084,0.0080596,0.0080596,0.0080596
100,4134.1,1.03567,0.8621,1.20866,0.79195,0.68522,0.75699,0.43871,1.46063,1.06015,1.4117,0.0080398,0.0080398,0.0080398
101,4174.76,1.04529,0.85641,1.21336,0.78365,0.69698,0.76496,0.44426,1.46101,1.02063,1.41363,0.00802,0.00802,0.00802
102,4213.13,1.0409,0.85471,1.20287,0.8291,0.68208,0.75958,0.43256,1.46872,1.01773,1.4233,0.0080002,0.0080002,0.0080002
103,4252.04,1.04364,0.8581,1.2059,0.81728,0.6706,0.75581,0.439,1.44583,1.00087,1.40542,0.0079804,0.0079804,0.0079804
104,4290.32,1.033,0.84603,1.20709,0.76842,0.68921,0.75497,0.44414,1.44371,1.00312,1.40934,0.0079606,0.0079606,0.0079606
105,4330.71,1.03037,0.85267,1.20134,0.81064,0.69515,0.76651,0.44606,1.43697,0.99324,1.40463,0.0079408,0.0079408,0.0079408
106,4370.23,1.02424,0.83023,1.20091,0.81423,0.68766,0.77057,0.44873,1.44854,1.00289,1.40736,0.007921,0.007921,0.007921
107,4410.01,1.02643,0.83381,1.19707,0.78607,0.69494,0.76139,0.44109,1.45096,1.01615,1.40585,0.0079012,0.0079012,0.0079012
108,4449.63,1.01965,0.83119,1.19624,0.80426,0.69217,0.77337,0.45201,1.44817,0.99434,1.39992,0.0078814,0.0078814,0.0078814
109,4489.58,1.03215,0.84306,1.20167,0.79255,0.68709,0.76595,0.44397,1.46013,1.01354,1.4038,0.0078616,0.0078616,0.0078616
110,4528.65,1.01624,0.8243,1.20044,0.78364,0.70511,0.76375,0.44198,1.4653,1.01932,1.41633,0.0078418,0.0078418,0.0078418
111,4567.79,1.02187,0.83108,1.20336,0.81467,0.69308,0.75678,0.43488,1.46867,1.01933,1.4246,0.007822,0.007822,0.007822
112,4607.09,1.01235,0.81881,1.19076,0.80549,0.70284,0.7681,0.44223,1.46829,1.0221,1.42928,0.0078022,0.0078022,0.0078022
113,4649.05,1.01362,0.82516,1.192,0.80752,0.69655,0.76239,0.44778,1.47172,1.03161,1.43465,0.0077824,0.0077824,0.0077824
